"property_id","floor","raw_equipment_name","raw_equipment_type","point_count","sample_topic_name","source"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205009_VAV_02_02","VAV","1","Floor_02/DEV205009_VAV_02_02/NO NAME! PLEASE NAME THIS.","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205012_VAV_02_05","VAV","1","Floor_02/DEV205012_VAV_02_05/NO NAME! PLEASE NAME THIS.","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205013_VAV_02_06","VAV","12","Floor_02/DEV205013_VAV_02_06/ActHeatSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36233_VAV_2_01","VAV","29","Floor_02/DEV36233_VAV_2_01/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36228_VAVRH_1_01","VAVRH","29","Floor_02/DEV36228_VAVRH_1_01/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36234_VAVRH_2_01","VAVRH","29","Floor_02/DEV36234_VAVRH_2_01/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36235_VAVRH_2_02","VAVRH","29","Floor_02/DEV36235_VAVRH_2_02/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36236_VAVRH_2_03","VAVRH","29","Floor_02/DEV36236_VAVRH_2_03/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36237_VAVRH_2_04","VAVRH","29","Floor_02/DEV36237_VAVRH_2_04/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36238_VAVRH_2_05","VAVRH","29","Floor_02/DEV36238_VAVRH_2_05/ActCoolSP","topics"
