topic_id,topic_name,metadata,property_id,equipment_id,unit,kind,dis
109455,Floor_01/DEV36226_AHU_1_01/HIGH_STATIC_PRESSURE_SWITCH,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/HIGH_STATIC_PRESSURE_SWITCH
109476,Floor_01/DEV36226_AHU_1_01/HUMIDITY,"{""units"": ""percentRelativeHumidity"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percentRelativeHumidity,float,DEV36226_AHU_1_01/HUMIDITY
109461,Floor_01/DEV36226_AHU_1_01/HUMIDITY,"{""units"": ""percentRelativeHumidity"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percentRelativeHumidity,float,DEV36226_AHU_1_01/HUMIDITY
109454,Floor_01/DEV36226_AHU_1_01/LOW_STATIC_PRESSURE_SWITCH,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/LOW_STATIC_PRESSURE_SWITCH
109437,Floor_01/DEV36226_AHU_1_01/LOW_STATIC_PRESSURE_SWITCH,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/LOW_STATIC_PRESSURE_SWITCH
109456,Floor_01/DEV36226_AHU_1_01/RA_CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36226_AHU_1_01/RA_CO2
109471,Floor_01/DEV36226_AHU_1_01/RA_CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36226_AHU_1_01/RA_CO2
109442,Floor_01/DEV36226_AHU_1_01/RETURN_AIR_CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36226_AHU_1_01/RETURN_AIR_CO2
109489,Floor_01/DEV36226_AHU_1_01/RETURN_AIR_CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36226_AHU_1_01/RETURN_AIR_CO2
109444,Floor_01/DEV36226_AHU_1_01/RETURN_AIR_TEMP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/RETURN_AIR_TEMP
109491,Floor_01/DEV36226_AHU_1_01/RETURN_AIR_TEMP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/RETURN_AIR_TEMP
109462,Floor_01/DEV36226_AHU_1_01/SPACE_TEMPERATURE,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/SPACE_TEMPERATURE
109477,Floor_01/DEV36226_AHU_1_01/SPACE_TEMPERATURE,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/SPACE_TEMPERATURE
109472,Floor_01/DEV36226_AHU_1_01/STATIC_PRESSURE_STPT,"{""units"": ""inchesOfWater"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,inchesOfWater,float,DEV36226_AHU_1_01/STATIC_PRESSURE_STPT
